archetype,market_id,day_ordinal,day_utc,day_start_utc,day_end_exclusive_utc,day_start_block,day_end_block_exclusive,status,opening_event_sequence,closing_event_sequence,opening_total_supply_assets,opening_total_supply_shares,opening_total_borrow_assets,opening_total_borrow_shares,opening_total_collateral_assets,closing_total_supply_assets,closing_total_supply_shares,closing_total_borrow_assets,closing_total_borrow_shares,closing_total_collateral_assets,total_event_count,supply_event_count,withdraw_event_count,borrow_event_count,repay_event_count,supply_collateral_event_count,withdraw_collateral_event_count,liquidate_event_count,accrue_interest_event_count,supply_assets_in,supply_shares_minted,withdraw_assets_out,withdraw_shares_burned,borrow_assets_out,borrow_shares_minted,repay_assets_in,repay_shares_burned,collateral_assets_in,collateral_assets_withdrawn,accrued_interest_assets,accrued_fee_shares,liquidation_repaid_assets,liquidation_repaid_shares,liquidation_seized_collateral_assets,liquidation_bad_debt_assets,liquidation_bad_debt_shares,first_event_block,last_event_block
accepted_drip_market,0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0,9,2025-07-18,2025-07-18T00:00:00Z,2025-07-19T00:00:00Z,358813157,359159396,active,0,10,0,0,0,0,0,2000063,1999937004031,2000063,1999937004032,1724084174827485,10,2,0,2,0,2,0,0,4,2000000,1999937004031,0,0,2000000,1999937004032,0,0,1724084174827485,0,63,0,0,0,0,0,0,358881421,358940820
accepted_drip_market,0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,60368,60746,17923875870550,17626460868920947986,15591910188924,15295939988673721349,6660277741654475493705,17251058136492,16963115867031203103,15829860256409,15527654546910816653,6658893948371925691665,378,86,75,16,10,2,2,0,187,7438764643020,7314971515276881556,8113311789497,7978316517166626439,596840500000,585469639683541315,360619844934,353755081446446011,89706717450197960,1473500000000000000,1729412419,0,0,0,0,0,0,425581940,425924128
accepted_drip_market,0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,197745,198920,1271842382772,1227786826796500545,1171191489060,1124940095642039218,1057662574366275330287,1586726518229,1531586079026639410,1166321122536,1120117770205410576,1057699874611518053402,1175,278,391,2,1,3,0,0,500,9824610582372,9483837388983168073,9509877040133,9180038136753029208,500023807,480272011199090,5520983549,5302597447827732,37300245242723115,0,150593218,0,0,0,0,0,0,495304336,495640777
accepted_drip_market,0x52f4d5038749565658a51f43d214e811c328c00c8b58c544accfb8924e8be8f8,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x52f4d5038749565658a51f43d214e811c328c00c8b58c544accfb8924e8be8f8,58,2025-09-05,2025-09-05T00:00:00Z,2025-09-06T00:00:00Z,375767966,376113943,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x52f4d5038749565658a51f43d214e811c328c00c8b58c544accfb8924e8be8f8,59,2025-09-06,2025-09-06T00:00:00Z,2025-09-07T00:00:00Z,376113943,376459500,active,0,1,0,0,0,0,0,0,0,0,0,99993115605436190256830,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99993115605436190256830,0,0,0,0,0,0,0,0,376133082,376133082
accepted_drip_market,0x52f4d5038749565658a51f43d214e811c328c00c8b58c544accfb8924e8be8f8,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,6,6,1000,1000000000,0,0,102843420796956970468,1000,1000000000,0,0,102843420796956970468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x52f4d5038749565658a51f43d214e811c328c00c8b58c544accfb8924e8be8f8,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,6,6,1000,1000000000,0,0,102843420796956970468,1000,1000000000,0,0,102843420796956970468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x551dbcdcceaf9322986e0cddde993d49840522a9532dc441359acd98af8badff,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x551dbcdcceaf9322986e0cddde993d49840522a9532dc441359acd98af8badff,49,2025-08-27,2025-08-27T00:00:00Z,2025-08-28T00:00:00Z,372653657,372999830,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
